Filename,ExecutionTime,K,MaxIters,Resolution,Pixels
00000029_(5).jpg,10.3030,16,10,1599x667,1066533
00000029_(6).jpg,7.5333,16,10,1024x681,697344
00000030.jpg,6.6394,16,10,1024x576,589824
00000030_(2).jpg,4.9128,16,10,532x799,425068
00000030_(3).jpg,7.5267,16,10,1023x683,698709
00000030_(4).jpg,16.3949,16,10,1600x1066,1705600
00000030_(5).jpg,6.0570,16,10,800x800,640000
00000030_(6).jpg,15.8490,16,10,1600x1068,1708800
00000030_(7).jpg,6.2114,16,10,1024x640,655360
00000031.jpg,17.5780,16,10,1600x1067,1707200
00000031_(2).jpg,11.3628,16,10,1024x1024,1048576
00000031_(3).jpg,9.7508,16,10,1023x775,792825
00000031_(4).jpg,21.0496,16,10,1600x1066,1705600
00000031_(5).jpg,8.3869,16,10,1023x681,696663
00000031_(6).jpg,8.4739,16,10,1024x711,728064
00000032.jpg,6.9930,16,10,800x800,640000
00000032_(2).jpg,6.8415,16,10,800x800,640000
00000032_(3).jpg,13.7580,16,10,1600x900,1440000
00000032_(4).jpg,6.0177,16,10,800x800,640000
00000032_(5).jpg,13.8061,16,10,1600x900,1440000
00000032_(6).jpg,7.4169,16,10,1024x768,786432
00000033.jpg,13.9031,16,10,1600x900,1440000
00000033_(2).jpg,5.8997,16,10,800x800,640000
00000033_(3).jpg,4.0021,16,10,1024x424,434176
00000033_(4).jpg,6.8035,16,10,1023x732,748836
00000033_(5).jpg,9.3940,16,10,1024x1024,1048576
00000033_(6).jpg,18.2638,16,10,1600x1067,1707200
00000033_(7).jpg,7.9803,16,10,1024x768,786432
00000034.jpg,10.7400,16,10,1024x1024,1048576
00000034_(2).jpg,6.3968,16,10,800x800,640000
00000034_(3).jpg,1.9861,16,10,381x500,190500
00000034_(4).jpg,10.4427,16,10,1024x1024,1048576
00000034_(5).jpg,16.7570,16,10,1600x1067,1707200
00000034_(6).jpg,15.9234,16,10,1600x1066,1705600
00000035.jpg,3.6944,16,10,640x640,409600
00000035_(2).jpg,7.3931,16,10,1024x768,786432
00000035_(3).jpg,6.6145,16,10,1024x683,699392
00000035_(4).jpg,3.8802,16,10,640x640,409600
00000035_(5).jpg,3.7724,16,10,640x640,409600
00000035_(6).jpg,3.7361,16,10,800x528,422400
00000036.jpg,9.7949,16,10,1024x1024,1048576
00000036_(2).jpg,6.1784,16,10,1023x681,696663
00000036_(3).jpg,5.7008,16,10,1023x576,589248
00000036_(4).jpg,10.7450,16,10,1600x691,1105600
00000036_(5).jpg,4.2450,16,10,900x500,450000
00000036_(6).jpg,16.2664,16,10,1600x1066,1705600
00000036_(7).jpg,15.4500,16,10,1600x1060,1696000
00000037.jpg,5.8136,16,10,800x800,640000
00000037_(2).jpg,5.6878,16,10,800x800,640000
00000037_(3).jpg,5.6388,16,10,1024x614,628736
00000037_(4).jpg,7.4880,16,10,1024x723,740352
00000037_(5).jpg,6.5578,16,10,1024x684,700416
00000037_(6).jpg,16.1069,16,10,1600x1060,1696000
00000038.jpg,7.8007,16,10,1024x768,786432
